Scenario: 1,_,_
PacketID,ModuleNumber,ValidModule
1,1,Yes
2,3,No
3,4,Yes
4,4,Yes
Scenario: 2,_,_
PacketID,ModuleNumber,ValidModule
1,1,Yes
2,4,No
3,3,No
4,4,Yes
Scenario: 3,_,_
PacketID,ModuleNumber,ValidModule
1,1,Yes
2,4,No
3,4,Yes
4,3,No
Scenario: 4,_,_
PacketID,ModuleNumber,ValidModule
1,3,Yes
2,1,No
3,4,No
4,4,Yes
Scenario: 5,_,_
PacketID,ModuleNumber,ValidModule
1,3,Yes
2,4,Yes
3,1,Yes
4,4,No
Scenario: 6,_,_
PacketID,ModuleNumber,ValidModule
1,3,Yes
2,4,Yes
3,4,Yes
4,1,Yes
Scenario: 7,_,_
PacketID,ModuleNumber,ValidModule
1,4,Yes
2,1,Yes
3,3,No
4,4,Yes
Scenario: 8,_,_
PacketID,ModuleNumber,ValidModule
1,4,Yes
2,1,Yes
3,4,No
4,3,No
Scenario: 9,_,_
PacketID,ModuleNumber,ValidModule
1,4,Yes
2,3,No
3,1,No
4,4,No
Scenario: 10,_,_
PacketID,ModuleNumber,ValidModule
1,4,Yes
2,3,No
3,4,Yes
4,1,Yes
Scenario: 11,_,_
PacketID,ModuleNumber,ValidModule
1,4,Yes
2,4,Yes
3,1,Yes
4,3,No
Scenario: 12,_,_
PacketID,ModuleNumber,ValidModule
1,4,Yes
2,4,Yes
3,3,No
4,1,No
